證券代碼,年月日,本益比-TSE
1225 福懋油,2015/09/11,98.48
1227 佳格,2015/09/11,21
1229 聯華,2015/09/11,10.27
1231 聯華食,2015/09/11,12.64
1232 大統益,2015/09/11,11.8
1233 天仁,2015/09/11,17.91
1234 黑松,2015/09/11,24.57
1235 興泰,2015/09/11,0
1236 宏亞,2015/09/11,22.36
1256 鮮活果汁-KY,2015/09/11,15.16
1702 南僑,2015/09/11,16.53
1737 臺鹽,2015/09/11,19.02
910322 康師傅-DR,2015/09/11,0
911616 杜康-DR,2015/09/11,0
1201 味全,2015/09/10,0
1203 味王,2015/09/10,14.89
1210 大成,2015/09/10,16.65
1213 大飲,2015/09/10,38.03
1215 卜蜂,2015/09/10,7.27
1216 統一,2015/09/10,24.87
1217 愛之味,2015/09/10,0
1218 泰山,2015/09/10,81.54
1219 福壽,2015/09/10,44.85
1220 台榮,2015/09/10,41.08
1225 福懋油,2015/09/10,98.26
1227 佳格,2015/09/10,21.2
1229 聯華,2015/09/10,10.38
1231 聯華食,2015/09/10,12.55
1232 大統益,2015/09/10,11.8
1233 天仁,2015/09/10,18.06
1234 黑松,2015/09/10,25
1235 興泰,2015/09/10,0
1236 宏亞,2015/09/10,22.64
1256 鮮活果汁-KY,2015/09/10,15.16
1702 南僑,2015/09/10,16.69
1737 臺鹽,2015/09/10,19.06
910322 康師傅-DR,2015/09/10,0
911616 杜康-DR,2015/09/10,0
1201 味全,2015/09/09,0
1203 味王,2015/09/09,14.77
1210 大成,2015/09/09,16.42
1213 大飲,2015/09/09,38.55
1215 卜蜂,2015/09/09,7.28
1216 統一,2015/09/09,24.48
1217 愛之味,2015/09/09,0
1218 泰山,2015/09/09,82.69
1219 福壽,2015/09/09,44.7
1220 台榮,2015/09/09,41.46
1225 福懋油,2015/09/09,98.48
1227 佳格,2015/09/09,21.32
1229 聯華,2015/09/09,10.4
1231 聯華食,2015/09/09,12.38
1232 大統益,2015/09/09,11.78
1233 天仁,2015/09/09,18.01
1234 黑松,2015/09/09,24.53
1235 興泰,2015/09/09,0
1236 宏亞,2015/09/09,22.31
1256 鮮活果汁-KY,2015/09/09,15.27
1702 南僑,2015/09/09,17.02
1737 臺鹽,2015/09/09,18.66
910322 康師傅-DR,2015/09/09,0
911616 杜康-DR,2015/09/09,0
1201 味全,2015/09/08,0
1203 味王,2015/09/08,14.62
1210 大成,2015/09/08,16.28
1213 大飲,2015/09/08,37.89
1215 卜蜂,2015/09/08,7.07
1216 統一,2015/09/08,23.7
1217 愛之味,2015/09/08,0
1218 泰山,2015/09/08,81.92
1219 福壽,2015/09/08,44.7
1220 台榮,2015/09/08,41.21
1225 福懋油,2015/09/08,98.26
1227 佳格,2015/09/08,20
1229 聯華,2015/09/08,10.27
1231 聯華食,2015/09/08,12.14
1232 大統益,2015/09/08,11.73
1233 天仁,2015/09/08,17.89
1234 黑松,2015/09/08,24.28
1235 興泰,2015/09/08,0
1236 宏亞,2015/09/08,22.53
1256 鮮活果汁-KY,2015/09/08,15.06
1702 南僑,2015/09/08,16.67
1737 臺鹽,2015/09/08,18.39
910322 康師傅-DR,2015/09/08,0
911616 杜康-DR,2015/09/08,0
1201 味全,2015/09/07,0
1203 味王,2015/09/07,14.66
1210 大成,2015/09/07,15.87
1213 大飲,2015/09/07,38.16
1215 卜蜂,2015/09/07,7.07
1216 統一,2015/09/07,23.7
1217 愛之味,2015/09/07,0
1218 泰山,2015/09/07,81.54
1219 福壽,2015/09/07,44.85
1220 台榮,2015/09/07,41.25
1225 福懋油,2015/09/07,98.7
1227 佳格,2015/09/07,20.32
1229 聯華,2015/09/07,10.08
1231 聯華食,2015/09/07,12.21
1232 大統益,2015/09/07,11.73
1233 天仁,2015/09/07,17.87
1234 黑松,2015/09/07,24.31
1235 興泰,2015/09/07,0
1236 宏亞,2015/09/07,22.64
1256 鮮活果汁-KY,2015/09/07,14.81
1702 南僑,2015/09/07,16.83
1737 臺鹽,2015/09/07,18.39
910322 康師傅-DR,2015/09/07,0
911616 杜康-DR,2015/09/07,0
1201 味全,2015/09/04,0
1203 味王,2015/09/04,14.66
1210 大成,2015/09/04,16.06
1213 大飲,2015/09/04,38.95
1215 卜蜂,2015/09/04,7.05
1216 統一,2015/09/04,24.39
1217 愛之味,2015/09/04,0
1218 泰山,2015/09/04,81.15
1219 福壽,2015/09/04,44.55
1220 台榮,2015/09/04,41.25
1225 福懋油,2015/09/04,97.17
1227 佳格,2015/09/04,20.2
1229 聯華,2015/09/04,10.03
1231 聯華食,2015/09/04,12.31
1232 大統益,2015/09/04,11.7
1233 天仁,2015/09/04,17.91
1234 黑松,2015/09/04,24.31
1235 興泰,2015/09/04,0
1236 宏亞,2015/09/04,22.53
1256 鮮活果汁-KY,2015/09/04,14.04
1702 南僑,2015/09/04,16.9
1737 臺鹽,2015/09/04,18.35
910322 康師傅-DR,2015/09/04,0
911616 杜康-DR,2015/09/04,0
1201 味全,2015/09/03,0
1203 味王,2015/09/03,14.74
1210 大成,2015/09/03,15.87
1213 大飲,2015/09/03,39.21
1215 卜蜂,2015/09/03,7.07
1216 統一,2015/09/03,25
1217 愛之味,2015/09/03,0
1218 泰山,2015/09/03,80.77
1219 福壽,2015/09/03,44.39
1220 台榮,2015/09/03,41.25
1225 福懋油,2015/09/03,96.74
1227 佳格,2015/09/03,20.72
1229 聯華,2015/09/03,9.89
1231 聯華食,2015/09/03,12.48
1232 大統益,2015/09/03,11.78
1233 天仁,2015/09/03,18.01
1234 黑松,2015/09/03,24.57
1235 興泰,2015/09/03,0
1236 宏亞,2015/09/03,22.91
1256 鮮活果汁-KY,2015/09/03,14.14
1702 南僑,2015/09/03,17.32
1737 臺鹽,2015/09/03,18.44
910322 康師傅-DR,2015/09/03,0
911616 杜康-DR,2015/09/03,0
1201 味全,2015/09/02,0
1203 味王,2015/09/02,14.7
1210 大成,2015/09/02,15.78
1213 大飲,2015/09/02,39.74
1215 卜蜂,2015/09/02,7.07
1216 統一,2015/09/02,24.57
1217 愛之味,2015/09/02,0
1218 泰山,2015/09/02,80
1219 福壽,2015/09/02,44.55
1220 台榮,2015/09/02,41.38
1225 福懋油,2015/09/02,99.35
1227 佳格,2015/09/02,20.83
1229 聯華,2015/09/02,9.87
1231 聯華食,2015/09/02,12.16
1232 大統益,2015/09/02,11.52
1233 天仁,2015/09/02,18.01
1234 黑松,2015/09/02,24.57
1235 興泰,2015/09/02,0
1236 宏亞,2015/09/02,22.64
1256 鮮活果汁-KY,2015/09/02,14.04
1702 南僑,2015/09/02,17.23
1737 臺鹽,2015/09/02,18.35
910322 康師傅-DR,2015/09/02,0
911616 杜康-DR,2015/09/02,0
1201 味全,2015/09/01,0
1203 味王,2015/09/01,14.59
1210 大成,2015/09/01,15.87
1213 大飲,2015/09/01,40
1215 卜蜂,2015/09/01,7.12
1216 統一,2015/09/01,24.17
1217 愛之味,2015/09/01,0
1218 泰山,2015/09/01,79.62
1219 福壽,2015/09/01,44.24
1220 台榮,2015/09/01,41.67
1225 福懋油,2015/09/01,96.74
1227 佳格,2015/09/01,20.92
1229 聯華,2015/09/01,9.92
1231 聯華食,2015/09/01,12.21
1232 大統益,2015/09/01,11.37
1233 天仁,2015/09/01,18.15
1234 黑松,2015/09/01,24.49
1235 興泰,2015/09/01,0
1236 宏亞,2015/09/01,22.75
1256 鮮活果汁-KY,2015/09/01,13.83
1702 南僑,2015/09/01,17.27
1737 臺鹽,2015/09/01,18.39
910322 康師傅-DR,2015/09/01,0
911616 杜康-DR,2015/09/01,0
1201 味全,2015/08/31,0
1203 味王,2015/08/31,15.23
1210 大成,2015/08/31,15.73
1213 大飲,2015/08/31,38.82
1215 卜蜂,2015/08/31,7.07
1216 統一,2015/08/31,25.22
1217 愛之味,2015/08/31,0
1218 泰山,2015/08/31,80
1219 福壽,2015/08/31,44.55
1220 台榮,2015/08/31,41.46
1225 福懋油,2015/08/31,93.7
1227 佳格,2015/08/31,21.17
1229 聯華,2015/08/31,9.81
1231 聯華食,2015/08/31,12.5
1232 大統益,2015/08/31,11.35
1233 天仁,2015/08/31,18.25
1234 黑松,2015/08/31,24.02
1235 興泰,2015/08/31,0
1236 宏亞,2015/08/31,22.86
1256 鮮活果汁-KY,2015/08/31,13.93
1702 南僑,2015/08/31,17.51
1737 臺鹽,2015/08/31,18.39
910322 康師傅-DR,2015/08/31,0
911616 杜康-DR,2015/08/31,0
1201 味全,2015/08/28,0
1203 味王,2015/08/28,15.26
1210 大成,2015/08/28,15.92
1213 大飲,2015/08/28,38.16
1215 卜蜂,2015/08/28,7.05
1216 統一,2015/08/28,24.48
1217 愛之味,2015/08/28,0
1218 泰山,2015/08/28,80.38
1219 福壽,2015/08/28,44.55
1220 台榮,2015/08/28,41.67
1225 福懋油,2015/08/28,93.26
1227 佳格,2015/08/28,21.23
1229 聯華,2015/08/28,9.92
1231 聯華食,2015/08/28,12.91
1232 大統益,2015/08/28,11.45
1233 天仁,2015/08/28,18.25
1234 黑松,2015/08/28,24.02
1235 興泰,2015/08/28,0
1236 宏亞,2015/08/28,22.47
1256 鮮活果汁-KY,2015/08/28,13.93
1702 南僑,2015/08/28,16.88
1737 臺鹽,2015/08/28,18.39
910322 康師傅-DR,2015/08/28,0
911616 杜康-DR,2015/08/28,0
1201 味全,2015/08/27,0
1203 味王,2015/08/27,15.11
1210 大成,2015/08/27,15.69
1213 大飲,2015/08/27,36.18
1215 卜蜂,2015/08/27,6.98
1216 統一,2015/08/27,24.52
1217 愛之味,2015/08/27,0
1218 泰山,2015/08/27,77.69
1219 福壽,2015/08/27,44.09
1220 台榮,2015/08/27,41.67
1225 福懋油,2015/08/27,91.74
1227 佳格,2015/08/27,21.17
1229 聯華,2015/08/27,9.84
1231 聯華食,2015/08/27,12.45
1232 大統益,2015/08/27,11.32
1233 天仁,2015/08/27,17.68
1234 黑松,2015/08/27,23.99
1235 興泰,2015/08/27,0
1236 宏亞,2015/08/27,22.31
1256 鮮活果汁-KY,2015/08/27,14.09
1702 南僑,2015/08/27,16.85
1737 臺鹽,2015/08/27,18.08
910322 康師傅-DR,2015/08/27,0
911616 杜康-DR,2015/08/27,0
1201 味全,2015/08/26,0
1203 味王,2015/08/26,15.11
1210 大成,2015/08/26,16.56
1213 大飲,2015/08/26,35
1215 卜蜂,2015/08/26,6.78
1216 統一,2015/08/26,24.52
1217 愛之味,2015/08/26,0
1218 泰山,2015/08/26,76.69
1219 福壽,2015/08/26,44.24
1220 台榮,2015/08/26,41.67
1225 福懋油,2015/08/26,89.57
1227 佳格,2015/08/26,20.17
1229 聯華,2015/08/26,9.7
1231 聯華食,2015/08/26,12.26
1232 大統益,2015/08/26,11.39
1233 天仁,2015/08/26,17.77
1234 黑松,2015/08/26,24.02
1235 興泰,2015/08/26,0
1236 宏亞,2015/08/26,22.69
1256 鮮活果汁-KY,2015/08/26,13.83
1702 南僑,2015/08/26,16.76
1737 臺鹽,2015/08/26,17.41
910322 康師傅-DR,2015/08/26,0
911616 杜康-DR,2015/08/26,0
1201 味全,2015/08/25,0
1203 味王,2015/08/25,15.23
1210 大成,2015/08/25,15.23
1213 大飲,2015/08/25,34.74
1215 卜蜂,2015/08/25,6.58
1216 統一,2015/08/25,24.04
1217 愛之味,2015/08/25,0
1218 泰山,2015/08/25,75.69
1219 福壽,2015/08/25,44.24
1220 台榮,2015/08/25,41.67
1225 福懋油,2015/08/25,90.87
1227 佳格,2015/08/25,20.34
1229 聯華,2015/08/25,9.73
1231 聯華食,2015/08/25,11.92
1232 大統益,2015/08/25,11.19
1233 天仁,2015/08/25,17.56
1234 黑松,2015/08/25,24.42
1235 興泰,2015/08/25,0
1236 宏亞,2015/08/25,22.14
1256 鮮活果汁-KY,2015/08/25,13.63
1702 南僑,2015/08/25,16.53
1737 臺鹽,2015/08/25,16.79
910322 康師傅-DR,2015/08/25,0
911616 杜康-DR,2015/08/25,0
1201 味全,2015/08/24,0
1203 味王,2015/08/24,15.15
1210 大成,2015/08/24,15.28
1213 大飲,2015/08/24,34.74
1215 卜蜂,2015/08/24,6.47
1216 統一,2015/08/24,24
1217 愛之味,2015/08/24,0
1218 泰山,2015/08/24,75.15
1219 福壽,2015/08/24,43.33
1220 台榮,2015/08/24,41.67
1225 福懋油,2015/08/24,87.83
1227 佳格,2015/08/24,19.11
1229 聯華,2015/08/24,10.54
1231 聯華食,2015/08/24,11.54
1232 大統益,2015/08/24,11.14
1233 天仁,2015/08/24,17.54
1234 黑松,2015/08/24,25
1235 興泰,2015/08/24,0
1236 宏亞,2015/08/24,21.98
1256 鮮活果汁-KY,2015/08/24,13.22
1702 南僑,2015/08/24,15.73
1737 臺鹽,2015/08/24,16.38
910322 康師傅-DR,2015/08/24,0
911616 杜康-DR,2015/08/24,0
1201 味全,2015/08/21,0
1203 味王,2015/08/21,16.17
1210 大成,2015/08/21,16.15
1213 大飲,2015/08/21,38.16
1215 卜蜂,2015/08/21,7.03
1216 統一,2015/08/21,24.74
1217 愛之味,2015/08/21,0
1218 泰山,2015/08/21,83.46
1219 福壽,2015/08/21,44.55
1220 台榮,2015/08/21,42.08
1225 福懋油,2015/08/21,92.17
1227 佳格,2015/08/21,19.91
1229 聯華,2015/08/21,10.83
1231 聯華食,2015/08/21,12.26
1232 大統益,2015/08/21,11.67
1233 天仁,2015/08/21,18.25
1234 黑松,2015/08/21,25.69
1235 興泰,2015/08/21,0
1236 宏亞,2015/08/21,23.85
1256 鮮活果汁-KY,2015/08/21,14.04
1702 南僑,2015/08/21,17.18
1737 臺鹽,2015/08/21,17.5
910322 康師傅-DR,2015/08/21,0
911616 杜康-DR,2015/08/21,0
1201 味全,2015/08/20,0
1203 味王,2015/08/20,16.39
1210 大成,2015/08/20,16.83
1213 大飲,2015/08/20,42.37
1215 卜蜂,2015/08/20,7.32
1216 統一,2015/08/20,25.48
1217 愛之味,2015/08/20,0
1218 泰山,2015/08/20,88.08
1219 福壽,2015/08/20,44.7
1220 台榮,2015/08/20,42.08
1225 福懋油,2015/08/20,98.26
1227 佳格,2015/08/20,21.26
1229 聯華,2015/08/20,11.05
1231 聯華食,2015/08/20,12.69
1232 大統益,2015/08/20,11.72
1233 天仁,2015/08/20,18.58
1234 黑松,2015/08/20,25.47
1235 興泰,2015/08/20,0
1236 宏亞,2015/08/20,24.18
1256 鮮活果汁-KY,2015/08/20,14.19
1702 南僑,2015/08/20,18
1737 臺鹽,2015/08/20,18.17
910322 康師傅-DR,2015/08/20,0
911616 杜康-DR,2015/08/20,0
1201 味全,2015/08/19,0
1203 味王,2015/08/19,16.47
1210 大成,2015/08/19,17.43
1213 大飲,2015/08/19,45.39
1215 卜蜂,2015/08/19,7.37
1216 統一,2015/08/19,25.39
1217 愛之味,2015/08/19,0
1218 泰山,2015/08/19,87.69
1219 福壽,2015/08/19,44.7
1220 台榮,2015/08/19,42.08
1225 福懋油,2015/08/19,98.04
1227 佳格,2015/08/19,22.32
1229 聯華,2015/08/19,11.05
1231 聯華食,2015/08/19,12.4
1232 大統益,2015/08/19,11.65
1233 天仁,2015/08/19,18.01
1234 黑松,2015/08/19,25.43
1235 興泰,2015/08/19,0
1236 宏亞,2015/08/19,23.79
1256 鮮活果汁-KY,2015/08/19,14.63
1702 南僑,2015/08/19,17.65
1737 臺鹽,2015/08/19,18.88
910322 康師傅-DR,2015/08/19,0
911616 杜康-DR,2015/08/19,0
1201 味全,2015/08/18,0
1203 味王,2015/08/18,16.84
1210 大成,2015/08/18,18.3
1213 大飲,2015/08/18,47.89
1215 卜蜂,2015/08/18,9.03
1216 統一,2015/08/18,25.74
1217 愛之味,2015/08/18,0
1218 泰山,2015/08/18,89.62
1219 福壽,2015/08/18,45
1220 台榮,2015/08/18,42.08
1225 福懋油,2015/08/18,99.35
1227 佳格,2015/08/18,25.16
1229 聯華,2015/08/18,11.29
1231 聯華食,2015/08/18,13.49
1232 大統益,2015/08/18,11.73
1233 天仁,2015/08/18,18.58
1234 黑松,2015/08/18,25.69
1235 興泰,2015/08/18,0
1236 宏亞,2015/08/18,24.18
1256 鮮活果汁-KY,2015/08/18,15.26
1702 南僑,2015/08/18,17.74
1737 臺鹽,2015/08/18,19.78
910322 康師傅-DR,2015/08/18,0
911616 杜康-DR,2015/08/18,0
1201 味全,2015/08/17,0
1203 味王,2015/08/17,16.84
1210 大成,2015/08/17,18.35
1213 大飲,2015/08/17,48.03
1215 卜蜂,2015/08/17,8.99
1216 統一,2015/08/17,24.83
1217 愛之味,2015/08/17,0
1218 泰山,2015/08/17,90
1219 福壽,2015/08/17,45
1220 台榮,2015/08/17,42.08
1225 福懋油,2015/08/17,100.22
1227 佳格,2015/08/17,25.3
1229 聯華,2015/08/17,11.34
1231 聯華食,2015/08/17,13.7
1232 大統益,2015/08/17,11.77
1233 天仁,2015/08/17,18.46
1234 黑松,2015/08/17,25.07
1235 興泰,2015/08/17,0
1236 宏亞,2015/08/17,24.29
1256 鮮活果汁-KY,2015/08/17,15.26
1702 南僑,2015/08/17,17.27
1737 臺鹽,2015/08/17,19.73
910322 康師傅-DR,2015/08/17,0
911616 杜康-DR,2015/08/17,0
1201 味全,2015/08/14,0
1203 味王,2015/08/14,17.86
1210 大成,2015/08/14,14.33
1213 大飲,2015/08/14,48.82
1215 卜蜂,2015/08/14,9.06
1216 統一,2015/08/14,24.74
1217 愛之味,2015/08/14,0
1218 泰山,2015/08/14,116.5
1219 福壽,2015/08/14,45.45
1220 台榮,2015/08/14,42.08
1225 福懋油,2015/08/14,99.35
1227 佳格,2015/08/14,26.84
1229 聯華,2015/08/14,11.34
1231 聯華食,2015/08/14,13.8
1232 大統益,2015/08/14,11.83
1233 天仁,2015/08/14,19.03
1234 黑松,2015/08/14,25.11
1235 興泰,2015/08/14,0
1236 宏亞,2015/08/14,24.62
1256 鮮活果汁-KY,2015/08/14,15.1
1702 南僑,2015/08/14,17.81
1737 臺鹽,2015/08/14,19.73
910322 康師傅-DR,2015/08/14,0
911616 杜康-DR,2015/08/14,0
1201 味全,2015/08/13,0
1203 味王,2015/08/13,17.54
1210 大成,2015/08/13,14.29
1213 大飲,2015/08/13,48.82
1215 卜蜂,2015/08/13,8.19
1216 統一,2015/08/13,24.26
1217 愛之味,2015/08/13,0
1218 泰山,2015/08/13,116
1219 福壽,2015/08/13,41.39
1220 台榮,2015/08/13,59.41
1225 福懋油,2015/08/13,119.74
1227 佳格,2015/08/13,26.26
1229 聯華,2015/08/13,11.26
1231 聯華食,2015/08/13,13.68
1232 大統益,2015/08/13,11.8
1233 天仁,2015/08/13,19
1234 黑松,2015/08/13,24.82
1235 興泰,2015/08/13,0
1236 宏亞,2015/08/13,24.23
1256 鮮活果汁-KY,2015/08/13,14.68
1702 南僑,2015/08/13,17.37
1737 臺鹽,2015/08/13,20.04
910322 康師傅-DR,2015/08/13,0
911616 杜康-DR,2015/08/13,0
1201 味全,2015/08/12,0
1203 味王,2015/08/12,17.46
1210 大成,2015/08/12,14.29
1213 大飲,2015/08/12,48.95
1215 卜蜂,2015/08/12,8.21
1216 統一,2015/08/12,26.89
1217 愛之味,2015/08/12,0
1218 泰山,2015/08/12,118.5
1219 福壽,2015/08/12,41.39
1220 台榮,2015/08/12,59.41
1225 福懋油,2015/08/12,119.74
1227 佳格,2015/08/12,26.46
1229 聯華,2015/08/12,11.24
1231 聯華食,2015/08/12,14.6
1232 大統益,2015/08/12,11.77
1233 天仁,2015/08/12,17.98
1234 黑松,2015/08/12,24.2
1235 興泰,2015/08/12,0
1236 宏亞,2015/08/12,24.18
1256 鮮活果汁-KY,2015/08/12,14.68
1702 南僑,2015/08/12,17.59
1737 臺鹽,2015/08/12,20.18
910322 康師傅-DR,2015/08/12,0
911616 杜康-DR,2015/08/12,0
1201 味全,2015/08/11,0
1203 味王,2015/08/11,17.5
1210 大成,2015/08/11,14.18
1213 大飲,2015/08/11,48.82
1215 卜蜂,2015/08/11,8.23
1216 統一,2015/08/11,26.21
1217 愛之味,2015/08/11,0
1218 泰山,2015/08/11,118.5
1219 福壽,2015/08/11,41.25
1220 台榮,2015/08/11,59.41
1225 福懋油,2015/08/11,120
1227 佳格,2015/08/11,26.75
1229 聯華,2015/08/11,11.4
1231 聯華食,2015/08/11,15.68
1232 大統益,2015/08/11,12.16
1233 天仁,2015/08/11,18.11
1234 黑松,2015/08/11,28.76
1235 興泰,2015/08/11,42.22
1236 宏亞,2015/08/11,11.19
1256 鮮活果汁-KY,2015/08/11,14.84
1702 南僑,2015/08/11,17.52
1737 臺鹽,2015/08/11,20.94
910322 康師傅-DR,2015/08/11,0
911616 杜康-DR,2015/08/11,0
1201 味全,2015/08/10,0
1203 味王,2015/08/10,17.58
1210 大成,2015/08/10,14.47
1213 大飲,2015/08/10,49.08
1215 卜蜂,2015/08/10,8.21
1216 統一,2015/08/10,26.94
1217 愛之味,2015/08/10,0
1218 泰山,2015/08/10,122.5
1219 福壽,2015/08/10,41.67
1220 台榮,2015/08/10,59.41
1225 福懋油,2015/08/10,121.05
1227 佳格,2015/08/10,27.57
1229 聯華,2015/08/10,13.59
1231 聯華食,2015/08/10,15.9
1232 大統益,2015/08/10,12.18
1233 天仁,2015/08/10,18.11
1234 黑松,2015/08/10,29.29
1235 興泰,2015/08/10,42.22
1236 宏亞,2015/08/10,11.32
1256 鮮活果汁-KY,2015/08/10,14.57
1702 南僑,2015/08/10,18.02
1737 臺鹽,2015/08/10,21.29
910322 康師傅-DR,2015/08/10,0
911616 杜康-DR,2015/08/10,0
1201 味全,2015/08/07,0
1203 味王,2015/08/07,17.38
1210 大成,2015/08/07,14.29
1213 大飲,2015/08/07,50.41
1215 卜蜂,2015/08/07,8.08
1216 統一,2015/08/07,25.63
1217 愛之味,2015/08/07,0
1218 泰山,2015/08/07,117.5
1219 福壽,2015/08/07,41.25
1220 台榮,2015/08/07,58.82
1225 福懋油,2015/08/07,122.63
1227 佳格,2015/08/07,26.99
1229 聯華,2015/08/07,13.33
1231 聯華食,2015/08/07,15.63
1232 大統益,2015/08/07,12.14
1233 天仁,2015/08/07,17.98
1234 黑松,2015/08/07,29.12
1235 興泰,2015/08/07,42.11
1236 宏亞,2015/08/07,11.42
1256 鮮活果汁-KY,2015/08/07,13.94
1702 南僑,2015/08/07,17.95
1737 臺鹽,2015/08/07,20.98
910322 康師傅-DR,2015/08/07,0
911616 杜康-DR,2015/08/07,0
1201 味全,2015/08/06,0
1203 味王,2015/08/06,17.58
1210 大成,2015/08/06,14.33
1213 大飲,2015/08/06,50.27
1215 卜蜂,2015/08/06,8.13
1216 統一,2015/08/06,25.78
1217 愛之味,2015/08/06,0
1218 泰山,2015/08/06,116.5
1219 福壽,2015/08/06,41.39
1220 台榮,2015/08/06,58.71
1225 福懋油,2015/08/06,118.16
1227 佳格,2015/08/06,27.31
1229 聯華,2015/08/06,13.33
1231 聯華食,2015/08/06,15.55
1232 大統益,2015/08/06,12.14
1233 天仁,2015/08/06,17.85
1234 黑松,2015/08/06,28.94
1235 興泰,2015/08/06,42.11
1236 宏亞,2015/08/06,11.37
1256 鮮活果汁-KY,2015/08/06,13.62
1702 南僑,2015/08/06,17.9
1737 臺鹽,2015/08/06,20.98
910322 康師傅-DR,2015/08/06,0
911616 杜康-DR,2015/08/06,0
1201 味全,2015/08/05,0
1203 味王,2015/08/05,17.58
1210 大成,2015/08/05,15.07
1213 大飲,2015/08/05,49.59
1215 卜蜂,2015/08/05,8.15
1216 統一,2015/08/05,27.67
1217 愛之味,2015/08/05,0
1218 泰山,2015/08/05,117
1219 福壽,2015/08/05,41.67
1220 台榮,2015/08/05,58.71
1225 福懋油,2015/08/05,120.79
1227 佳格,2015/08/05,27.87
1229 聯華,2015/08/05,13.43
1231 聯華食,2015/08/05,15.58
1232 大統益,2015/08/05,12.21
1233 天仁,2015/08/05,17.98
1234 黑松,2015/08/05,28.67
1235 興泰,2015/08/05,42.22
1236 宏亞,2015/08/05,11.34
1256 鮮活果汁-KY,2015/08/05,14.15
1702 南僑,2015/08/05,17.73
1737 臺鹽,2015/08/05,20.85
910322 康師傅-DR,2015/08/05,0
911616 杜康-DR,2015/08/05,0
1201 味全,2015/08/04,0
1203 味王,2015/08/04,17.42
1210 大成,2015/08/04,14.93
1213 大飲,2015/08/04,50
1215 卜蜂,2015/08/04,8.06
1216 統一,2015/08/04,27.23
1217 愛之味,2015/08/04,0
1218 泰山,2015/08/04,115.5
1219 福壽,2015/08/04,41.67
1220 台榮,2015/08/04,58.24
1225 福懋油,2015/08/04,121.05
1227 佳格,2015/08/04,27.49
1229 聯華,2015/08/04,13.27
1231 聯華食,2015/08/04,15.55
1232 大統益,2015/08/04,12.11
1233 天仁,2015/08/04,17.85
1234 黑松,2015/08/04,28.58
1235 興泰,2015/08/04,41.89
1236 宏亞,2015/08/04,11.44
1256 鮮活果汁-KY,2015/08/04,14.57
1702 南僑,2015/08/04,17.42
1737 臺鹽,2015/08/04,20.49
910322 康師傅-DR,2015/08/04,0
911616 杜康-DR,2015/08/04,0
1201 味全,2015/08/03,0
1203 味王,2015/08/03,17.54
1210 大成,2015/08/03,14.96
1213 大飲,2015/08/03,50.14
1215 卜蜂,2015/08/03,8.06
1216 統一,2015/08/03,26.94
1217 愛之味,2015/08/03,0
1218 泰山,2015/08/03,116.5
1219 福壽,2015/08/03,41.67
1220 台榮,2015/08/03,58.24
1225 福懋油,2015/08/03,116.84
1227 佳格,2015/08/03,27.84
1229 聯華,2015/08/03,13.27
1231 聯華食,2015/08/03,15.63
1232 大統益,2015/08/03,12.02
1233 天仁,2015/08/03,17.94
1234 黑松,2015/08/03,28.67
1235 興泰,2015/08/03,41.78
1236 宏亞,2015/08/03,11.27
1256 鮮活果汁-KY,2015/08/03,15.31
1702 南僑,2015/08/03,17.45
1737 臺鹽,2015/08/03,25.05
910322 康師傅-DR,2015/08/03,0
911616 杜康-DR,2015/08/03,0
1201 味全,2015/07/31,0
1203 味王,2015/07/31,17.38
1210 大成,2015/07/31,14.96
1213 大飲,2015/07/31,50.54
1215 卜蜂,2015/07/31,8.16
1216 統一,2015/07/31,26.99
1217 愛之味,2015/07/31,0
1218 泰山,2015/07/31,118
1219 福壽,2015/07/31,41.94
1220 台榮,2015/07/31,58.24
1225 福懋油,2015/07/31,116.58
1227 佳格,2015/07/31,27.89
1229 聯華,2015/07/31,13.4
1231 聯華食,2015/07/31,15.88
1232 大統益,2015/07/31,12.18
1233 天仁,2015/07/31,17.94
1234 黑松,2015/07/31,29.12
1235 興泰,2015/07/31,41.78
1236 宏亞,2015/07/31,11.34
1256 鮮活果汁-KY,2015/07/31,16.05
1702 南僑,2015/07/31,16.94
1737 臺鹽,2015/07/31,25.05
910322 康師傅-DR,2015/07/31,0
911616 杜康-DR,2015/07/31,0
1201 味全,2015/07/30,0
1203 味王,2015/07/30,17.46
1210 大成,2015/07/30,15.18
1213 大飲,2015/07/30,50.54
1215 卜蜂,2015/07/30,8.02
1216 統一,2015/07/30,26.94
1217 愛之味,2015/07/30,0
1218 泰山,2015/07/30,117.5
1219 福壽,2015/07/30,41.94
1220 台榮,2015/07/30,58.24
1225 福懋油,2015/07/30,116.58
1227 佳格,2015/07/30,27.72
1229 聯華,2015/07/30,13.46
1231 聯華食,2015/07/30,16.08
1232 大統益,2015/07/30,12.23
1233 天仁,2015/07/30,17.98
1234 黑松,2015/07/30,29.42
1235 興泰,2015/07/30,42.67
1236 宏亞,2015/07/30,11.44
1256 鮮活果汁-KY,2015/07/30,16.37
1702 南僑,2015/07/30,16.99
1737 臺鹽,2015/07/30,24.95
910322 康師傅-DR,2015/07/30,0
911616 杜康-DR,2015/07/30,0
1201 味全,2015/07/29,0
1203 味王,2015/07/29,17.46
1210 大成,2015/07/29,15.04
1213 大飲,2015/07/29,50.81
1215 卜蜂,2015/07/29,7.9
